id,name,keyword,area,experience,employment,schedule,url,requirement,responsibility
117408891,Исследователь/Research Scientist,Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/117408891,"Ученая степень, законченная аспирантура, наличие научных публикаций/докладов. Знание и уверенное владение минимум двумя языками программирования, знание современных Unix-style...","Ведение исследовательских работ в области математики, Computer Science, электроники, телекоммуникаций и сетей, смежных областях."
120046927,Стажер Data Scientist,Data Scientist,Новосибирск,Нет опыта,Полная занятость,Полный день,https://hh.ru/vacancy/120046927,"Пунктуальность, систематичность, ответственное отношение к дедлайнам. . Уверенное владения Python для ML (преимущественно nlp и cv). . Опыт реализации и применения моделей...","Реализация проектов из сфер CV, NLP, построение предиктивных моделей и других задач из сферы. Работа с подготовкой и аннотацией данных..."
119908809,Data scientist ML,Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/119908809,Опыт работы в роли <highlighttext>Data</highlighttext> <highlighttext>scientist</highlighttext> от 2 лет. Уверенные знания Python и SQL. Хороший мат. аппарат (мат. ,Построение МL-моделей для задач сокращения оттока клиентов и рекомендательных сервисов для продаж. Постановка готовых моделей на регламент. 
119897384,Data Analyst / Аналитик по трафику (IGaming),Data Scientist,Минск,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/119897384,Опыт работы на позиции <highlighttext>Data</highlighttext> Analyst / <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> от 1 года. Знания Python. Знания математической статистики и теории вероятности. ,"Предобработка сырых данных из различных источников. Ad Hoc аналитика. Создание аналитических отчетов, поддержка их работоспособности в Looker Studio. "
119871389,Биоинформатик (тематика - онкология),Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Полный день,https://hh.ru/vacancy/119871389,"Оконченное высшее образование, специальности: биоинформатика, биофизика, биоинженерия или математика/программирование с дополнительной специализацией в биоинформатике. Уверенные навыки программирования: знание R...","Биоинформатический анализ результатов молекулярного-генетических исследований: полногеномное секвенирование, таргетное секвенирование ДНК и РНК, bulk РНК-секвенирование, анализ метилирования ДНК. "
119609618,"Junior NLP, LLM Data Scientist (блок ""В2С"")",Data Scientist,Москва,Нет опыта,Полная занятость,Полный день,https://hh.ru/vacancy/119609618,"Высшее математическое/техническое образование. Знание основ линейной алгебры, теории вероятностей и математической статистики. Знание основ машинного обучения (линейные модели, дерево...","Подготовка и обработка данных, создание эмбеддингов. Формирование выборок для ML-моделей. Разработка и сопровождение ML-моделей для обработки текстов из..."
120125250,"Data Scientist (классический ML, Антифрод)",Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/120125250,"Опыт в <highlighttext>Data</highlighttext> Science / ML от 3 лет. Глубокие знания классических ML-алгоритмов: деревья решений, бустинг (XGBoost, LightGBM, CatBoost), регрессия...","Анализ потоковых данных HTTP-запросов и браузерных параметров (до 5 млрд строк в месяц). Формирование признаков, выявление закономерностей и аномалий. "
120024619,Исследователь данных (Data Scientist),Data Scientist,Екатеринбург,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/120024619,"Высшее образование. Опыт применения методов машинного обучения для решения задач прогнозирования, реализованные проекты. Понимание логики работы банковских продуктов. ","Выдвигать гипотезы, разрабатывать ML модели прогнозирования временных рядов (Python, SQL), генерировать фичи и сложную логику взаимозависимостей. Анализировать и подготавливать фактические..."
118549567,Стажер - Data Scientist,Data Scientist,Пермь,Нет опыта,Полная занятость,Полный день,https://hh.ru/vacancy/118549567,"Python. SQL. Базовые знания по ML (классификация, регрессия). PySpark (желательно). Методы математической оптимизации (желательно).",Повышение качества скоринговых моделей. Разработка подходов по усорению решения задачи по целочисленному линейному программированию. Прогноз Лайфтайма клиента.
119393658,ML Engineer/Data Scientist,Data Scientist,Санкт-Петербург,От 1 года до 3 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/119393658,"Умение аккумулировать данные из различных источников, объединять, приводить к единой дате. Опыт работы с временными рядами, понимание применяемых методов и...","Сбор, парсинг, анализ, классификация разрозненных данных. Исследования взаимовлияния, построение матриц корреляций, анализ сырых временных рядов. Восстановление временных рядов по косвенным..."
119382231,Junior ML Engineer / Data scientist (Младший специалист МО),Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/119382231,Опыт Python-разработки и опыт участия в проектах машинного обучения от 1 года. Уверенное владение Python 3.8+ и...,"Участвовать в разработке сервисов и пилотных проектов, поддержке решений в области анализа данных и машинного обучения (от сбора данных и..."
119635537,Junior Data Scientist,Data Scientist,Москва,Нет опыта,Полная занятость,Полный день,https://hh.ru/vacancy/119635537,"Высшее техническое образование. Опыт работы с данными. Опыт применения методов продвинутой аналитики (статистический анализ, математическое моделирование и др.). ",Построение NLP-моделей машинного обучения.
120041186,Data scientist NLP,Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/120041186,Опыт работы в роли <highlighttext>Data</highlighttext> <highlighttext>scientist</highlighttext> от 2 лет. Работа с одним из фреймворков PyTorch/TensorFlow. Знание основных подходов для...,Виртуальный помощник на базе LLM. Генерация формального текста или шаблона задачи из свободного описания. Формирование саммари текстов. Построение RAG систем...
120266086,Data Scientist/Специалист по обработке данных (NLP),Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/120266086,Опыта работы от 3х лет по направлению разработки моделей. Опыта разработки моделей по направлению NLP от 1го года. ,"Генерация текста и программного кода. Осуществлять полный цикл разработки моделей (<highlighttext>data</highlighttext> collection, feature engineering, model fitting, model management, visualization, model..."
119290200,Data Scientist (Риск-моделирование),Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/119290200,"Опыт работы от 2 лет в области <highlighttext>Data</highlighttext> Science, машинного обучения, моделирования кредитных рисков. - Отличное владение SQL. - Уверенные знания классических...","Приветствуем! Мы ищем опытного <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext>, который займется разработкой и сопровождением скоринговых моделей для розничных кредитных конвейеров и конвейеров банковских..."
120094878,Data scientist / Model risk / Quant risk,Data Scientist,Астана,От 3 до 6 лет,Полная занятость,Полный день,https://hh.ru/vacancy/120094878,"Высшее образование (техническое/ финансовое/ экономическое/наука о данных). Знание Python, R (хотя бы одного из них). Опыт в кредитных моделях...","Валидация моделей - статистических, эконометрических, машинного обучения. Разработка альтернативных подходов моделирования при необходимости. Формирование отчетности о модельном риске. Учет моделей. "
118832084,Data Scientist,Data Scientist,Санкт-Петербург,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/118832084,"Опыт работы в области <highlighttext>Data</highlighttext> Science от 2 лет. Уверенное владение Python и основными библиотеками (NumPy, Pandas, scikit-learn). ",Генеративный AI – создание и обработка контента. Компьютерное зрение – распознавание изображений и видео. Умный поиск и анализ информации в реальном времени. 
119609635,"Junior Data Scientist в команду ""Разработка AI-решений БСР""",Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/119609635,"Образование в техническом ВУЗе в сфере компьютерных наук, прикладной математики или статистики. Наиболее приоритетны: ВШЭ, МФТИ, МГУ, МИФИ. ","Проверяем гипотезы любой сложности для получения <highlighttext>Data</highlighttext>-driven инсайтов, которые становятся предметом обсуждения на стратегических сессиях руководства банка. "
119404172,"Junior Data Scientist (NLP, LLM)",Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/119404172,"Понимание принципов разработки, внедрения и сопровождения ML-решений. - Знания GenAI и LLM. - Опыт с AI, Python, SQL, Hadoop, Spark, Excel. - ","Мы - команда из 8 человек (DE, DA, DS), занимаемся полным циклом разработки, внедрения и оценки эффекта AI-моделей для сети..."
119677838,Стажер Data scientist (Проекты внедрения технологий ИИ),Data Scientist,Москва,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/119677838,"Уверенные знания математического анализа, линейной алгебры, теории вероятностей. Опыт работы с библиотеками ML/CV: PyTorch / TensorFlow, OpenCV, Scikit‑learn, XGBoost...",Детекции и трекинга камней на видео. Построения моделей оценки позиций в доме и вероятности взятия энда. Рекомендаций по стратегии бросков...
119251166,Data Scientist Computer Vision,Data Scientist,Казань,От 1 года до 3 лет,Полная занятость,Полный день,https://hh.ru/vacancy/119251166,"Опыт работы от 2 лет. - Владение python и библиотеками для работы с изображениями(OpenCV, Python). - Опыт работы с алгоритмами обработки...","Обучать модели определения живости и проверять в реальных условиях. - Строить и проверять гипотезы, от выбора изначальных данных и их обработки..."
119489019,Project/product менеджер ИИ,Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Полный день,https://hh.ru/vacancy/119489019,"Будет преимуществом опыт работы в роли <highlighttext>data</highlighttext> <highlighttext>scientist</highlighttext>. Знание метрик качества ML моделей (Accuracy, Precision, Recall, F1-Score, ROC...","Организация работы кросс-функциональных команд для реализации проектов в установленные сроки (Бизнес-заказчик, команды <highlighttext>Data</highlighttext> Science, развития ИС, системного анализа..."
117835206,"Java разработчик, Поисковая платформа",Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/117835206,"...DWH, <highlighttext>Data</highlighttext> Lake. Опыт алгоритмической разработки, например сжатия данных. Образование, связанное с математикой или Computer Science. Знакомство с <highlighttext>Data</highlighttext> Science...","В команде индексации — участвовать в проектировании и разработке быстрообновляемого хранилища мастер-данных для поиска, подсистемы потоковой и пакетной обработки данных..."
119749370,Data Scientist,Data Scientist,Москва,От 3 до 6 лет,Полная занятость,Удаленная работа,https://hh.ru/vacancy/119749370,"Есть опыт работы с глубокими нейронными сетями — CV, NLP на Torch, а также с трансформерами и свёрточными архитектурами от 2...",Анализировать операции и деятельность клиентов. Искать аномальное поведение и транзакции. Сегментировать клиентов по уровням риска и минимизировать возможные угрозы.
120171757,Лидер аналитики данных (Head of Data Analytics),Data Scientist,Ташкент,От 3 до 6 лет,Полная занятость,Полный день,https://hh.ru/vacancy/120171757,"Опыт работы с СУБД: MS SQL, ClickHouse, PostgreSQL. Понимание работы со стеком Big <highlighttext>Data</highlighttext>: Hive, Spark SQL, Hadoop, Apache AirFlow. ","Взаимодействие с бизнес-подразделениями и командами <highlighttext>Data</highlighttext> Office (<highlighttext>Data</highlighttext> Engineers, <highlighttext>Data</highlighttext> <highlighttext>Scientists</highlighttext>, Product Analysts). Проектирование архитектуры логических моделей данных (ERD..."
